198|Donald|OConnell|DOCONNEL|21-JUN-07|650.507.9833|SH_CLERK|2600
199|Douglas|Grant|DGRANT|13-JAN-08|650.507.9844|SH_CLERK|2600
200|Jennifer|Whalen|JWHALEN|17-SEP-03|515.123.4444|AD_ASST|4400
201|Michael|Hartstein|MHARTSTE|17-FEB-04|515.123.5555|MK_MAN|13000
202|Pat|Fay|PFAY|17-AUG-05|603.123.6666|MK_REP|6000
203|Susan|Mavris|SMAVRIS|07-JUN-02|515.123.7777|HR_REP|6500
204|Hermann|Baer|HBAER|07-JUN-02|515.123.8888|PR_REP|10000
205|Shelley|Higgins|SHIGGINS|07-JUN-02|515.123.8080|AC_MGR|12008
206|William|Gietz|WGIETZ|07-JUN-02|515.123.8181|AC_ACCOUNT|8300
100|Steven|King|SKING|17-JUN-03|515.123.4567|AD_PRES|24000
101|Neena|Kochhar|NKOCHHAR|21-SEP-05|515.123.4568|AD_VP|17000
102|Lex|De|LDEHAAN|13-JAN-01|515.123.4569|AD_VP|12000
103|Alexander|Hunold|AHUNOLD|03-JAN-06|590.423.4567|IT_PROG|9000
104|Bruce|Ernst|BERNST|21-MAY-07|590.423.4568|IT_PROG|6000
105|David|Austin|DAUSTIN|25-JUN-05|590.423.4569|IT_PROG|4800
106|Valli|Pataballa|VPATABAL|05-FEB-06|590.423.4560|IT_PROG|4800
107|Diana|Lorentz|DLORENTZ|07-FEB-07|590.423.5567|IT_PROG|4200
108|Nancy|Greenberg|NGREENBE|17-AUG-02|515.124.4569|FI_MGR|12008
109|Daniel|Faviet|DFAVIET|16-AUG-02|515.124.4169|FI_ACCOUNT|9000
110|John|Chen|JCHEN|28-SEP-05|515.124.4269|FI_ACCOUNT|8200
111|Ismael|Sciarra|ISCIARRA|30-SEP-05|515.124.4369|FI_ACCOUNT|7700
112|Jose|Manuel|JMURMAN|07-MAR-06|515.124.4469|FI_ACCOUNT|5000
113|Luis|Popp|LPOPP|07-DEC-07|515.124.4567|FI_ACCOUNT|6900
114|Den|Raphaely|DRAPHEAL|07-DEC-02|515.127.4561|PU_MAN|11000
115|Alexander|Khoo|AKHOO|18-MAY-03|515.127.4562|PU_CLERK|3100
116|Shelli|Baida|SBAIDA|24-DEC-05|515.127.4563|PU_CLERK|2900
117|Sigal|Tobias|STOBIAS|24-JUL-05|515.127.4564|PU_CLERK|2800
118|Guy|Himuro|GHIMURO|15-NOV-06|515.127.4565|PU_CLERK|2600
119|Karen|Colmenares|KCOLMENA|10-AUG-07|515.127.4566|PU_CLERK|2500
120|Matthew|Weiss|MWEISS|18-JUL-04|650.123.1234|ST_MAN|8000
121|Adam|Fripp|AFRIPP|10-APR-05|650.123.2234|ST_MAN|8200
122|Payam|Kaufling|PKAUFLIN|01-MAY-03|650.123.3234|ST_MAN|7900
123|Shanta|Vollman|SVOLLMAN|10-OCT-05|650.123.4234|ST_MAN|6500
124|Kevin|Mourgos|KMOURGOS|16-NOV-07|650.123.5234|ST_MAN|5800
125|Julia|Nayer|JNAYER|16-JUL-05|650.124.1214|ST_CLERK|3200
126|Irene|Mikkilineni|IMIKKILI|28-SEP-06|650.124.1224|ST_CLERK|2700
127|James|Landry|JLANDRY|14-JAN-07|650.124.1334|ST_CLERK|2400
128|Steven|Markle|SMARKLE|08-MAR-08|650.124.1434|ST_CLERK|2200
129|Laura|Bissot|LBISSOT|20-AUG-05|650.124.5234|ST_CLERK|3300
130|Mozhe|Atkinson|MATKINSO|30-OCT-05|650.124.6234|ST_CLERK|2800
131|James|Marlow|JAMRLOW|16-FEB-05|650.124.7234|ST_CLERK|2500
132|TJ|Olson|TJOLSON|10-APR-07|650.124.8234|ST_CLERK|2100
133|Jason|Mallin|JMALLIN|14-JUN-04|650.127.1934|ST_CLERK|3300
134|Michael|Rogers|MROGERS|26-AUG-06|650.127.1834|ST_CLERK|2900
135|Ki|Gee|KGEE|12-DEC-07|650.127.1734|ST_CLERK|2400
136|Hazel|Philtanker|HPHILTAN|06-FEB-08|650.127.1634|ST_CLERK|2200
137|Renske|Ladwig|RLADWIG|14-JUL-03|650.121.1234|ST_CLERK|3600
138|Stephen|Stiles|SSTILES|26-OCT-05|650.121.2034|ST_CLERK|3200
139|John|Seo|JSEO|12-FEB-06|650.121.2019|ST_CLERK|2700
140|Joshua|Patel|JPATEL|06-APR-06|650.121.1834|ST_CLERK|2500
